BK,GA01,GA05,GA1,GA2,BK2,TS01,TS05,TS1,TS2
89.715790,89.728279,33.225744,23.565720,23.565740,1000.000000,62.367135,47.027553,41.346525,3.808210
228.652465,98.075056,63.597693,32.399491,32.399516,1000.000000,33.119015,10.853871,7.772081,2.100077
788.852296,105.066876,46.778473,23.902480,23.902495,1000.000000,550.853248,533.792979,494.215960,34.904455
120.278287,117.240913,47.121811,44.316652,39.644373,1000.000000,1000.000000,243.622023,128.164769,6.534536
336.193547,77.779838,36.624451,23.684348,23.684362,1000.000000,1000.000000,1000.000000,1000.000000,3.554207
108.034822,76.081796,21.860855,21.861084,21.861092,1000.000000,285.844594,271.196217,16.337792,11.846325
87.973297,58.713343,42.521252,38.798735,32.770299,1000.000000,908.077137,287.334919,8.795736,6.751109
57.707514,44.504585,27.569159,23.966391,23.966407,1000.000000,59.517982,16.231518,3.990725,2.493108
122.406385,80.577197,69.361162,39.082590,39.082599,1000.000000,491.999535,273.346477,83.601684,5.596545
107.484907,82.190451,23.900380,23.900395,23.900400,1000.000000,1000.000000,1000.000000,729.921733,34.971402
83.638238,83.638423,33.668302,24.596984,24.596998,1000.000000,1000.000000,12.313334,10.122643,4.575069
90.153472,44.920058,23.637737,23.637752,23.637757,1000.000000,148.924101,25.545886,16.146900,1.307511
179.028609,138.230129,27.376836,22.493218,22.493234,486.286628,485.887094,154.833248,49.127254,2.470520
315.958105,285.719198,38.779127,38.779145,38.779151,58.072857,57.700402,21.638565,2.094883,1.830234
348.273839,71.081227,39.322234,23.701817,23.701832,618.149676,617.939945,579.243277,438.921645,12.184249
133.896688,113.967050,64.020005,51.541978,38.007667,301.749540,291.698014,43.924206,21.804515,3.627765
1000.000000,121.187323,62.580647,44.572667,37.031645,1000.000000,1000.000000,114.853419,14.106406,7.489813
61.859719,37.151023,26.318131,25.287658,25.287673,1000.000000,38.142104,32.110537,27.065458,18.769068
446.927907,146.194914,36.208375,36.208385,36.208391,1000.000000,391.524350,364.884907,360.040296,4.208691
64.929665,58.834556,39.398055,39.398066,39.398072,1000.000000,529.006310,211.983113,75.671905,2.360403
58.178885,58.178895,23.922341,23.922355,23.922364,1000.000000,1000.000000,1000.000000,239.781823,1.205907
234.360688,129.787337,82.314240,52.403937,35.786270,670.641447,667.317760,264.994678,75.707442,12.615710
70.689954,70.689963,65.976028,33.362334,33.362350,1000.000000,1000.000000,39.273848,27.164751,7.961071
39.839783,39.839797,36.195062,36.195072,36.195077,1000.000000,187.676068,91.246505,73.719784,3.931197
165.310542,89.714244,54.790108,36.533148,36.533164,595.168120,595.117344,383.626068,18.807632,6.148481
