instance,GA,TS
50_20_01,0.168162,0.400833
50_20_02,0.064081,0.692417
50_20_03,-0.072274,0.168538
50_20_04,0.076715,0.231166
50_20_05,0.196559,0.618954
50_20_06,0.082015,0.383961
50_20_07,0.028972,0.822958
50_20_08,-0.093028,0.389779
50_20_09,-0.144344,0.126886
50_20_10,0.044974,0.228967
50_20_11,0.057027,0.277458
50_20_12,-0.021089,0.235297
50_20_13,-0.020111,0.230385
50_20_14,0.107722,0.572402
50_20_15,0.055629,0.302435
50_20_16,0.052645,0.320258
50_20_17,-0.143578,0.513665
50_20_18,0.132628,0.297087
50_20_19,0.047991,0.174261
50_20_20,0.106150,0.222985
50_20_21,0.085871,0.424725
50_20_22,0.073195,0.880022
50_20_23,0.042919,0.299965
50_20_24,0.167788,0.383154
50_20_25,0.158077,0.380276
50_20_26,0.257773,0.447679
50_20_27,-0.003831,0.015821
50_20_28,0.047617,0.284935
50_20_29,0.044315,0.377267
50_20_30,0.097524,0.192219
