instance,RTEI,RTIE,STEI,STIE
100_20_01,605859,608138,610123,607386
100_20_02,633632,625626,637781,635382
100_20_03,601256,599962,598892,599235
100_20_04,673241,676168,676514,674947
100_20_05,667779,666544,664556,662741
100_20_06,655664,653118,653805,655640
100_20_07,577123,575098,576714,579663
100_20_08,542506,538708,538976,542886
100_20_09,582610,587540,588535,588535
100_20_10,612669,610745,610236,606447
100_20_11,619279,620298,611084,614216
100_20_12,590795,592232,596247,595930
100_20_13,560621,559081,562107,565484
100_20_14,585499,585543,589191,584816
100_20_15,605658,613664,601533,608389
100_20_16,559148,557709,556564,556730
100_20_17,655748,657716,660292,661444
100_20_18,641428,638914,641005,645996
100_20_19,469611,472582,477609,478244
100_20_20,576517,573289,577395,582009
100_20_21,628438,625080,630918,637490
100_20_22,651326,656172,662505,659162
100_20_23,625645,610205,615619,615272
100_20_24,561892,573187,558823,557742
100_20_25,606511,603920,600494,597630
100_20_26,614487,607170,608184,615420
100_20_27,570434,569682,575786,573409
100_20_28,556411,559665,558687,558245
100_20_29,547549,549195,551969,553187
100_20_30,516768,515886,516630,512457
50_20_01,1835968,1841438,1837548,1824454
50_20_02,1850795,1869659,1852709,1843526
50_20_03,1692980,1717384,1703842,1694390
50_20_04,1979996,1996884,1991113,1989447
50_20_05,1571688,1580896,1579380,1577091
50_20_06,1710067,1691473,1698716,1703923
50_20_07,1800713,1835851,1826225,1818179
50_20_08,1802379,1803668,1790537,1801238
50_20_09,1877251,1886825,1888192,1867388
50_20_10,1691771,1707945,1695634,1704404
50_20_11,1850663,1882136,1853048,1859442
50_20_12,1748764,1742023,1738649,1731405
50_20_13,1746471,1758183,1748427,1754979
50_20_14,1732028,1735267,1756222,1742622
50_20_15,1471466,1500043,1486949,1487923
50_20_16,1895414,1896131,1895673,1897705
50_20_17,1807863,1822311,1799917,1809006
50_20_18,1856154,1858067,1844328,1845931
50_20_19,1710025,1720588,1720955,1712026
50_20_20,1821002,1851732,1837053,1834752
50_20_21,1746847,1754426,1755418,1756185
50_20_22,1759549,1791836,1787088,1776334
50_20_23,1813657,1827887,1832403,1841500
50_20_24,1731571,1754054,1740272,1737329
50_20_25,1755338,1750039,1745247,1756508
50_20_26,1589382,1593125,1608862,1606368
50_20_27,1896260,1901845,1896130,1911710
50_20_28,1761865,1780047,1768458,1780172
50_20_29,2021787,2031623,2030898,2062291
50_20_30,1796480,1802522,1817086,1802229
