instance,a1wct,a2wct,a3wct,a4wct,a5wct,a6wct,a7wct,a8wct,a9wct,a10wct,a11wct,a12wct
50_20_01,749388,605258,605894,787232,620555,611763,614078,614078,604460,614078,614078,605746
50_20_02,933307,627819,628906,920545,645024,646633,649396,638287,631066,649396,638887,635048
50_20_03,790085,602077,606736,793856,604848,611401,613234,613234,603201,613234,613234,608392
50_20_04,870006,678313,676290,867091,699206,680600,683331,686236,675472,687245,680249,679033
50_20_05,895552,663593,666141,896638,693350,669235,693226,676567,662499,693226,665726,672098
50_20_06,835209,652492,653662,836392,663287,660509,675913,665682,653510,675913,660114,652945
50_20_07,765600,582046,576486,778837,600751,582926,587808,582314,573545,587808,587808,578904
50_20_08,661950,545806,538551,668520,550189,548400,547398,540051,542886,547398,541600,542420
50_20_09,801587,586895,578578,817118,603102,583908,594279,594102,581720,594279,594142,587862
50_20_10,795058,611131,609073,804411,634336,617149,618765,613450,607378,619013,613979,613812
50_20_11,766589,616069,616072,781712,633937,612714,620124,618902,614085,619327,618171,615524
50_20_12,773942,593873,592544,781202,607448,595454,599970,599759,595915,599970,599759,595915
50_20_13,749372,567874,557598,729780,576554,567405,581879,565246,558749,581879,567575,562339
50_20_14,774322,587515,582029,793266,595761,599179,592690,587634,581814,594779,587443,583664
50_20_15,770629,602917,602439,779133,616353,622175,618112,610319,601954,618112,617444,605191
50_20_16,714652,557901,561272,718762,566265,560970,565735,563537,560015,565735,561130,561037
50_20_17,833189,656214,659721,860775,674115,665587,666391,658853,654820,666391,665680,659428
50_20_18,812671,641399,632268,820459,656403,641065,648133,645792,640985,648133,643953,645595
50_20_19,631920,469957,472422,655118,486856,476045,480111,474614,478244,480111,474591,472976
50_20_20,702693,572993,576771,708585,592636,580559,586392,574266,581558,584340,580599,581558
50_20_21,821692,627529,624902,824691,647468,635682,644882,644476,637582,644882,644476,623387
50_20_22,788699,656701,653695,791831,669346,665620,671837,661875,652400,672033,663867,663761
50_20_23,772028,621611,610465,783856,627498,624093,619180,613594,611858,619632,619559,613923
50_20_24,739720,565525,564620,754955,576704,562749,572680,570600,560656,570962,570600,563387
50_20_25,799495,601790,599656,803004,619626,600529,611654,604587,606672,611654,607847,603615
50_20_26,812913,612008,610935,812886,625617,614755,622002,616423,607166,621958,609695,608333
50_20_27,805971,572595,572438,807353,586328,574944,581282,579455,573626,581310,578075,575392
50_20_28,751892,563048,558279,751929,571871,569078,565683,565197,556349,565683,565197,557705
50_20_29,709925,554409,554792,702812,562989,560317,572474,563394,560054,572474,561448,557655
50_20_30,736734,517156,515028,728277,531473,521029,528793,524225,514028,528793,522172,513992
