instance,R_FI_T,R_FI_E,R_FI_I,R_BI_T,R_BI_E,R_BI_I,S_FI_T,S_FI_E,S_FI_I,S_BI_T,S_BI_E,S_BI_I
50_20_01,27.845311,3.074455,1.303800,29.673252,2.508988,1.935961,3.161308,3.161308,1.545543,3.161308,3.161308,1.761583
50_20_02,32.234527,2.227232,3.327270,32.811702,5.124514,3.256248,4.347127,2.562096,1.401802,4.347127,2.658506,2.041643
50_20_03,34.085652,1.539448,1.844132,34.403496,5.016154,0.964327,3.456630,3.456630,1.763996,3.456630,3.456630,2.639752
50_20_04,40.083046,1.770421,2.908099,42.689624,4.316846,1.790073,2.506672,2.942452,1.327741,3.093812,2.044340,1.861928
50_20_05,32.657538,2.083678,1.391821,34.508557,5.019671,2.779205,6.038718,3.490489,1.338589,6.038718,1.832204,2.806892
50_20_06,27.034762,1.803841,1.308267,30.429632,2.641094,2.068106,5.070621,3.480213,1.588076,5.070621,2.614668,1.500247
50_20_07,33.837541,2.338271,1.468052,34.119832,4.852708,3.304532,3.967809,2.996065,1.445059,3.967809,3.967809,2.392925
50_20_08,32.614542,2.778253,1.184183,31.855094,3.726576,1.862630,2.875604,1.494840,2.027638,2.875604,1.785953,1.940060
50_20_09,35.106678,2.216143,0.492845,37.939968,4.946953,3.212307,3.750369,3.719468,1.557794,3.750369,3.726451,2.630077
50_20_10,28.363391,1.752540,1.934968,29.634062,5.178725,2.081776,2.992751,2.108075,1.097398,3.034030,2.196127,2.168330
50_20_11,32.967273,1.594481,1.301566,31.477547,4.077137,2.755051,2.623322,2.421095,1.623938,2.491428,2.300123,1.862075
50_20_12,30.813130,1.701133,0.981686,36.713346,4.419213,2.598772,2.699594,2.663476,2.005481,2.699594,2.663476,2.005481
50_20_13,29.670348,2.576525,1.575338,31.733053,3.201768,2.398971,5.423366,2.409842,1.232732,5.423366,2.831804,1.883159
50_20_14,36.617599,1.582675,2.006967,36.537663,3.598369,2.500201,3.444605,2.562160,1.546372,3.809206,2.528824,1.869260
50_20_15,27.544813,1.178431,1.726327,26.733382,3.685620,2.624595,3.820158,2.511220,1.106207,3.820158,3.707959,1.649904
50_20_16,24.798501,1.455619,1.365278,24.559042,3.104801,2.098167,2.628968,2.230232,1.591313,2.628968,1.793583,1.776712
50_20_17,29.542097,1.916122,1.375194,30.622871,3.323154,2.574664,2.991333,1.826328,1.203024,2.991333,2.881447,1.915195
50_20_18,29.516841,1.845328,1.568585,29.919262,3.993424,2.808536,2.847889,2.476412,1.713621,2.847889,2.184593,2.445151
50_20_19,32.938424,1.595676,1.622099,34.393179,3.279213,2.306298,3.137003,1.956143,2.735936,3.137003,1.951202,1.604269
50_20_20,29.340103,1.166584,1.337485,29.795662,3.730097,2.832248,3.742127,1.596844,2.886915,3.379096,2.717253,2.886915
50_20_21,28.292375,1.856758,1.676309,30.986964,4.781641,3.211821,4.365881,4.300176,3.184470,4.365881,4.300176,0.887191
50_20_22,27.916212,1.909234,1.780707,27.336128,3.499796,2.687088,4.539061,2.988955,1.514628,4.569559,3.298914,3.282420
50_20_23,23.440425,2.209661,1.635753,24.512560,3.912463,3.919268,2.762325,1.835243,1.547127,2.837341,2.825225,1.889846
50_20_24,36.838456,1.844620,1.865259,37.436432,2.545609,2.343568,3.678197,3.301633,1.501368,3.367170,3.301633,1.995789
50_20_25,29.713305,1.288733,1.787421,29.764330,2.763198,5.698861,4.033051,2.831062,3.185688,4.033051,3.385538,2.665739
50_20_26,34.606261,1.340006,2.242894,35.226288,5.013360,2.112291,3.615883,2.686508,1.144435,3.608553,1.565728,1.338840
50_20_27,36.091917,1.582963,0.638329,39.730870,2.778566,2.080289,3.097819,2.773777,1.739929,3.102785,2.529017,2.053152
50_20_28,38.965532,2.286430,1.692770,39.698877,5.768003,1.422676,2.887184,2.798790,1.189504,2.887184,2.798790,1.436135
50_20_29,26.807096,2.376629,1.176300,29.471701,4.048175,1.409983,5.005649,3.340157,2.727520,5.005649,2.983213,2.287485
50_20_30,34.166650,0.976807,1.004301,36.816441,2.460478,1.941046,3.845761,2.948685,0.946172,3.845761,2.545512,0.939102
