instance,R_FI_T,R_FI_E,R_FI_I,R_BI_T,R_BI_E,R_BI_I,S_FI_T,S_FI_E,S_FI_I,S_BI_T,S_BI_E,S_BI_I
50_20_01,761012,613561,603021,771893,610195,606784,614078,614078,604460,614078,614078,605746
50_20_02,822951,636203,643049,826543,654234,642607,649396,638287,631066,649396,638887,635048
50_20_03,794786,601870,603676,796670,622478,598461,613234,613234,603201,613234,613234,608392
50_20_04,933823,678423,686007,951199,695398,678554,683331,686236,675472,687245,680249,679033
50_20_05,867246,667370,662847,879347,686564,671917,693226,676567,662499,693226,665726,672098
50_20_06,817207,654898,651710,839046,660284,656598,675913,665682,653510,675913,660114,652945
50_20_07,756684,578595,573675,758280,592811,584058,587808,582314,573545,587808,587808,578904
50_20_08,705638,546880,538398,701597,551926,542008,547398,540051,542886,547398,541600,542420
50_20_09,773887,585491,575620,790116,601133,591197,594279,594102,581720,594279,594142,587862
50_20_10,771188,611314,612410,778822,631898,613292,618765,613450,607378,619013,613979,613812
50_20_11,803484,613907,612137,794482,628909,620920,620124,618902,614085,619327,618171,615524
50_20_12,764209,594137,589934,798678,610016,599381,599970,599759,595915,599970,599759,595915
50_20_13,715709,566166,560640,727094,569617,565186,581879,565246,558749,581879,567575,562339
50_20_14,782756,582022,584453,782298,593571,587279,592690,587634,581814,594779,587443,583664
50_20_15,759361,602384,605646,754530,617311,610994,618112,610319,601954,618112,617444,605191
50_20_16,687943,559267,558769,686623,568358,562809,565735,563537,560015,565735,561130,561037
50_20_17,838184,659434,655934,845177,668538,663695,666391,658853,654820,666391,665680,659428
50_20_18,816197,641815,640071,818733,655352,647885,648133,645792,640985,648133,643953,645595
50_20_19,618839,472936,473059,625611,480773,476244,480111,474614,478244,480111,474591,472976
50_20_20,731082,571834,572800,733657,586324,581249,586392,574266,581558,584340,580599,581558
50_20_21,792725,629378,628263,809375,647451,637751,644882,644476,637582,644882,644476,623387
50_20_22,822074,654936,654110,818346,665158,659935,671837,661875,652400,672033,663867,663761
50_20_23,743773,615850,612392,750233,626110,626151,619180,613594,611858,619632,619559,613923
50_20_24,755845,562552,562666,759148,566424,565308,572680,570600,560656,570962,570600,563387
50_20_25,762639,595519,598451,762939,604188,621448,611654,604587,606672,611654,607847,603615
50_20_26,808036,608340,613760,811758,630391,612976,622002,616423,607166,621958,609695,608333
50_20_27,767308,572741,567415,787825,579482,575545,581282,579455,573626,581310,578075,575392
50_20_28,764045,562380,559116,768077,581522,557631,565683,565197,556349,565683,565197,557705
50_20_29,691332,558141,551597,705859,567254,552871,572474,563394,560054,572474,561448,557655
50_20_30,683190,514184,514324,696683,521739,519094,528793,524225,514028,528793,522172,513992
