instance,a1wct,a2wct,a3wct,a4wct,a5wct,a6wct,a7wct,a8wct,a9wct,a10wct,a11wct,a12wct
50_20_00,864722,601337,600044,847273,626751,618812,614078,614078,604460,614078,614078,605746
50_20_01,829037,633306,634133,828978,650406,633480,649396,638287,631066,649396,638887,635048
50_20_02,760547,600220,598242,766280,621912,594991,613234,613234,603201,613234,613234,608392
50_20_03,841939,681108,674078,836344,689665,680537,683331,686236,675472,687245,680249,679033
50_20_04,876426,664235,667814,869342,687862,668712,693226,676567,662499,693226,665726,672098
50_20_05,820924,659418,652725,835096,664641,666345,675913,665682,653510,675913,660114,652945
50_20_06,731576,578550,576835,748224,593746,585492,587808,582314,573545,587808,587808,578904
50_20_07,689025,545728,538123,692375,551856,548497,547398,540051,542886,547398,541600,542420
50_20_08,788161,585210,578599,793382,593958,593579,594279,594102,581720,594279,594142,587862
50_20_09,782834,612805,613753,785541,640293,618562,618765,613450,607378,619013,613979,613812
50_20_10,759362,615262,613993,755976,616443,620889,620124,618902,614085,619327,618171,615524
50_20_11,797745,592251,591145,810606,602178,596697,599970,599759,595915,599970,599759,595915
50_20_12,685083,569296,559496,691829,567656,567595,581879,565246,558749,581879,567575,562339
50_20_13,775593,584945,583681,770962,602497,584414,592690,587634,581814,594779,587443,583664
50_20_14,772381,609008,600581,764144,627896,621530,618112,610319,601954,618112,617444,605191
50_20_15,727575,555426,552776,727496,568385,563512,565735,563537,560015,565735,561130,561037
50_20_16,873909,651804,657910,871573,671107,659238,666391,658853,654820,666391,665680,659428
50_20_17,808952,637002,637717,807715,654392,644325,648133,645792,640985,648133,643953,645595
50_20_18,647973,471605,472458,649621,480978,474472,480111,474614,478244,480111,474591,472976
50_20_19,742112,576409,571479,747649,581701,578559,586392,574266,581558,584340,580599,581558
50_20_20,803379,632029,631177,811831,644272,637243,644882,644476,637582,644882,644476,623387
50_20_21,792516,665200,649158,787616,673008,659770,671837,661875,652400,672033,663867,663761
50_20_22,736167,616257,617794,747012,628507,620984,619180,613594,611858,619632,619559,613923
50_20_23,719337,560827,562704,735552,565715,568295,572680,570600,560656,570962,570600,563387
50_20_24,791119,596492,599373,794209,611759,597590,611654,604587,606672,611654,607847,603615
50_20_25,813325,618622,607604,817065,613865,625630,622002,616423,607166,621958,609695,608333
50_20_26,749866,577946,567445,791730,584510,572699,581282,579455,573626,581310,578075,575392
50_20_27,750614,563596,555315,752117,576399,560817,565683,565197,556349,565683,565197,557705
50_20_28,743756,555604,556598,750380,561828,555659,572474,563394,560054,572474,561448,557655
50_20_29,702410,518431,513938,709432,534605,517095,528793,524225,514028,528793,522172,513992
